,Main Title Tier,Secondary Title Tier,Main Analysis
List of IBM products,,,0.8199032973508437
Amdahl Corporation,,,0.6509807296919682
Midrange computer,,,0.7306091103192861
Linux on IBM Z,,,0.7572513986143171
IBM Secure Service Container,,,0.7959490115273217
History of IBM magnetic disk drives,,,0.6312998535376483
History of hard disk drives,,,0.6980617752931874
OS/360 and successors,,,0.6350188952980989
Category:IBM products,,,0.7510319025324422
Magnuson Computer Systems,,,0.7188943236009717
IBM System/390,,,0.7352717387602152
Trilogy Systems,,,0.6045260071156404
Amdahl UTS,,,0.7108336529442065
IBM mainframe,,,0.9396614058135817
Superminicomputer,,,0.6569516729672892
Minicomputer,,,0.6044679252782399
Microcomputer,,,0.5256505334549608
Comparison of Linux distributions,,,0.7078948115421045
OpenSolaris for System z,,,0.802086961476382
PowerLinux,,,0.6829898578078973
UNIX System Services,,,0.746988085819478
zIIP,,,0.7081421942870937
z Application Assist Processor,,,0.7305626398127016
Transaction Processing Facility,,,0.6223286929965083
VSE (operating system),,,0.7206487498490535
History of the floppy disk,,,0.5438058433762504
IBM System/360,,,0.6653733419298472
IBM System/370,,,0.6708055267178368
IBM 303X,,,0.703915229453999
IBM 308X,,,0.6204580239725477
IBM 3090,,,0.7732724048322375
IBM Z,,,0.7622161138631195
The Soul of a New Machine,,,0.5005604092212
Charles Babbage Institute,,,0.5833034703062966
History of computing hardware (1960s–present),,,0.5758768604555338
Lists of microcomputers,,,0.5101083405945406
Mainframe computer,,,0.5771222876575871
Personal computer,,,0.36844421074392486
Supercomputer,,,0.3525126318268245
Portal:Free and open-source software,,,0.5077752864966204
File:NewTux.svg,,,0.6780402330526314
Integrated Facility for Linux,,,0.7090520677623446
z/OS,,,0.524982696322615
z/VM,,,0.7582418650000524
History of IBM mainframe operating systems,,,0.6725760829914335
Floppy disk variants,,,0.3499169858428565
List of floppy disk formats,,,0.6189924123744197
History of IBM,,,0.3098532017589704
IBM System/4 Pi,,,0.7254763038939314
Gerrit Blaauw,,,0.7109771766268024
Bob O. Evans,,,0.7559191660531615
PC-based IBM-compatible mainframes,,,0.5756690725908338
Hercules (emulator),,,0.6920855136458364
IBM 9370,,,0.6598135816227225
Peer to Peer Remote Copy,,,0.6892982629841448
Extended Remote Copy,,,0.5151205572708335
Logical partition,,,0.5091372130156833
HiperSocket,,,0.48006191811382787
ESCON,,,0.5295497626862018
FICON,,,0.41729434744103333
IBM Parallel Sysplex,,,0.5200578367603234
Gameframe,,,0.6796380351256522
History of computing,,,0.38216229018402725
History of computing hardware,,,0.3196611278806792
